Age,Sex,Ethnicity,Offence,Month and year,Value
Ages 15 to 19 years inclusive,Male,European,Sexual Assault,October 2014,3
Ages 15 to 19 years inclusive,Male,European,Assault,October 2014,90
Ages 15 to 19 years inclusive,Male,Indian,Assault,October 2014,6
Ages 15 to 19 years inclusive,Male,European,Assault,November 2014,69
Ages 15 to 19 years inclusive,Male,Indian,Assault,November 2014,6
Ages 15 to 19 years inclusive,Male,European,Sexual Assault,November 2014,3
Ages 15 to 19 years inclusive,Male,Asian,Assault,November 2014,3
Ages 15 to 19 years inclusive,Male,European,Homicide and Related Offences,November 2014,1
Ages 15 to 19 years inclusive,Male,Asian,Assault,December 2014,3
Ages 15 to 19 years inclusive,Male,European,Assault,December 2014,75
Ages 15 to 19 years inclusive,Male,European,Sexual Assault,December 2014,3
Ages 15 to 19 years inclusive,Male,Indian,Assault,December 2014,6
Ages 15 to 19 years inclusive,Male,European,Sexual Assault,January 2015,3
Ages 15 to 19 years inclusive,Male,European,Assault,January 2015,99
Ages 15 to 19 years inclusive,Male,Indian,Assault,January 2015,6
Ages 15 to 19 years inclusive,Male,Asian,Assault,February 2015,3
Ages 15 to 19 years inclusive,Male,European,Sexual Assault,February 2015,3
Ages 15 to 19 years inclusive,Male,European,Abduction and Kidnapping,February 2015,3
Ages 15 to 19 years inclusive,Male,European,Assault,February 2015,87
Ages 15 to 19 years inclusive,Male,Asian,Assault,March 2015,6
Ages 15 to 19 years inclusive,Male,European,Assault,March 2015,84
Ages 15 to 19 years inclusive,Male,European,Sexual Assault,March 2015,6
Ages 15 to 19 years inclusive,Male,Indian,Assault,March 2015,3
Ages 15 to 19 years inclusive,Male,Asian,Assault,April 2015,3
Ages 15 to 19 years inclusive,Male,European,Assault,April 2015,60
Ages 15 to 19 years inclusive,Male,European,Sexual Assault,April 2015,3
Ages 15 to 19 years inclusive,Male,European,Abduction and Kidnapping,April 2015,3
Ages 15 to 19 years inclusive,Male,Indian,Assault,April 2015,3
Ages 15 to 19 years inclusive,Male,Asian,Assault,May 2015,3
Ages 15 to 19 years inclusive,Male,European,Assault,May 2015,63
Ages 15 to 19 years inclusive,Male,European,Sexual Assault,May 2015,6
Ages 15 to 19 years inclusive,Male,European,Abduction and Kidnapping,May 2015,3
Ages 15 to 19 years inclusive,Male,Indian,Assault,May 2015,3
Ages 15 to 19 years inclusive,Male,Asian,Assault,June 2015,3
Ages 15 to 19 years inclusive,Male,European,Assault,June 2015,63
Ages 15 to 19 years inclusive,Male,European,Sexual Assault,June 2015,6
Ages 15 to 19 years inclusive,Male,Indian,Assault,June 2015,6
Ages 15 to 19 years inclusive,Male,European,Assault,July 2015,75
Ages 15 to 19 years inclusive,Male,European,Sexual Assault,July 2015,6
Ages 15 to 19 years inclusive,Male,European,Abduction and Kidnapping,July 2015,3
Ages 15 to 19 years inclusive,Male,Indian,Assault,July 2015,3
Ages 15 to 19 years inclusive,Male,European,Assault,August 2015,87
Ages 15 to 19 years inclusive,Male,European,Sexual Assault,August 2015,3
Ages 15 to 19 years inclusive,Male,Indian,Assault,August 2015,6
Ages 15 to 19 years inclusive,Male,European,Assault,September 2015,78
Ages 15 to 19 years inclusive,Male,Indian,Assault,September 2015,3
Ages 15 to 19 years inclusive,Male,Asian,Sexual Assault,September 2015,3
Ages 15 to 19 years inclusive,Male,European,Sexual Assault,September 2015,3
Ages 15 to 19 years inclusive,Male,European,Abduction and Kidnapping,September 2015,3
Ages 15 to 19 years inclusive,Male,Asian,Assault,October 2015,6
Ages 15 to 19 years inclusive,Male,European,Assault,October 2015,84
Ages 15 to 19 years inclusive,Male,European,Sexual Assault,October 2015,3
Ages 15 to 19 years inclusive,Male,Asian,Assault,July 2014,3
Ages 15 to 19 years inclusive,Female,Asian,Assault,July 2014,3
Ages 15 to 19 years inclusive,Female,Asian,Sexual Assault,July 2014,3
Ages 15 to 19 years inclusive,Female,European,Assault,July 2014,87
Ages 15 to 19 years inclusive,Female,European,Sexual Assault,July 2014,48
Ages 15 to 19 years inclusive,Female,European,Abduction and Kidnapping,July 2014,3
Ages 15 to 19 years inclusive,Female,Indian,Assault,July 2014,3
Ages 15 to 19 years inclusive,Female,Indian,Sexual Assault,July 2014,3
Ages 15 to 19 years inclusive,Male,African,Assault,August 2014,3
Ages 15 to 19 years inclusive,Female,African,Assault,August 2014,3
Ages 15 to 19 years inclusive,Female,African,Sexual Assault,August 2014,3
Ages 15 to 19 years inclusive,Female,Asian,Assault,August 2014,3
Ages 15 to 19 years inclusive,Female,Asian,Sexual Assault,August 2014,3
Ages 15 to 19 years inclusive,Female,European,Assault,August 2014,75
Ages 15 to 19 years inclusive,Female,European,Sexual Assault,August 2014,27
Ages 15 to 19 years inclusive,Female,European,Abduction and Kidnapping,August 2014,3
Ages 15 to 19 years inclusive,Female,Indian,Assault,August 2014,3
Ages 15 to 19 years inclusive,Female,Indian,Sexual Assault,August 2014,3
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Assault,August 2014,27
Ages 15 to 19 years inclusive,Female,Asian,Assault,September 2014,3
Ages 15 to 19 years inclusive,Female,Asian,Sexual Assault,September 2014,3
Ages 15 to 19 years inclusive,Female,European,Assault,September 2014,81
Ages 15 to 19 years inclusive,Female,European,Sexual Assault,September 2014,48
Ages 15 to 19 years inclusive,Female,European,Abduction and Kidnapping,September 2014,3
Ages 15 to 19 years inclusive,Female,Indian,Assault,September 2014,6
Ages 15 to 19 years inclusive,Female,Indian,Sexual Assault,September 2014,3
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Assault,September 2014,21
Ages 15 to 19 years inclusive,Female,African,Assault,October 2014,3
Ages 15 to 19 years inclusive,Female,Indian,Assault,October 2014,3
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Assault,October 2014,24
Ages 15 to 19 years inclusive,Female,Asian,Assault,October 2014,3
Ages 15 to 19 years inclusive,Female,Indian,Sexual Assault,October 2014,3
Ages 15 to 19 years inclusive,Female,European,Assault,October 2014,93
Ages 15 to 19 years inclusive,Female,European,Sexual Assault,October 2014,30
Ages 15 to 19 years inclusive,Female,Asian,Assault,November 2014,3
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Assault,November 2014,33
Ages 15 to 19 years inclusive,Male,African,Assault,November 2014,3
Ages 15 to 19 years inclusive,Female,European,Assault,November 2014,96
Ages 15 to 19 years inclusive,Female,Indian,Assault,November 2014,6
Ages 15 to 19 years inclusive,Female,Asian,Sexual Assault,November 2014,3
Ages 15 to 19 years inclusive,Female,Indian,Sexual Assault,November 2014,3
Ages 15 to 19 years inclusive,Female,European,Sexual Assault,November 2014,39
Ages 15 to 19 years inclusive,Female,Asian,Abduction and Kidnapping,November 2014,3
Ages 15 to 19 years inclusive,Female,European,Abduction and Kidnapping,November 2014,3
Ages 15 to 19 years inclusive,Female,African,Assault,December 2014,3
Ages 15 to 19 years inclusive,Female,Asian,Sexual Assault,December 2014,3
Ages 15 to 19 years inclusive,Female,European,Assault,December 2014,87
Ages 15 to 19 years inclusive,Female,European,Sexual Assault,December 2014,24
Ages 15 to 19 years inclusive,Female,Indian,Assault,December 2014,3
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Assault,December 2014,36
Ages 15 to 19 years inclusive,Female,Indian,Assault,January 2015,3
Ages 15 to 19 years inclusive,Female,Asian,Sexual Assault,January 2015,3
Ages 15 to 19 years inclusive,Female,European,Assault,January 2015,114
Ages 15 to 19 years inclusive,Female,Asian,Assault,January 2015,3
Ages 15 to 19 years inclusive,Female,European,Sexual Assault,January 2015,30
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Assault,January 2015,30
Ages 15 to 19 years inclusive,Female,Asian,Sexual Assault,February 2015,3
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Assault,February 2015,33
Ages 15 to 19 years inclusive,Male,African,Assault,February 2015,3
Ages 15 to 19 years inclusive,Female,African,Sexual Assault,February 2015,3
Ages 15 to 19 years inclusive,Female,European,Assault,February 2015,75
Ages 15 to 19 years inclusive,Female,Asian,Assault,February 2015,3
Ages 15 to 19 years inclusive,Female,European,Sexual Assault,February 2015,33
Ages 15 to 19 years inclusive,Female,European,Abduction and Kidnapping,February 2015,3
Ages 15 to 19 years inclusive,Female,Asian,Assault,March 2015,3
Ages 15 to 19 years inclusive,Female,Asian,Sexual Assault,March 2015,3
Ages 15 to 19 years inclusive,Female,European,Assault,March 2015,99
Ages 15 to 19 years inclusive,Female,European,Sexual Assault,March 2015,39
Ages 15 to 19 years inclusive,Female,Indian,Assault,March 2015,6
Ages 15 to 19 years inclusive,Female,Indian,Sexual Assault,March 2015,3
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Assault,March 2015,45
Ages 15 to 19 years inclusive,Male,African,Assault,April 2015,3
Ages 15 to 19 years inclusive,Female,Asian,Assault,April 2015,3
Ages 15 to 19 years inclusive,Female,Asian,Sexual Assault,April 2015,3
Ages 15 to 19 years inclusive,Female,European,Assault,April 2015,63
Ages 15 to 19 years inclusive,Female,European,Sexual Assault,April 2015,27
Ages 15 to 19 years inclusive,Female,European,Abduction and Kidnapping,April 2015,3
Ages 15 to 19 years inclusive,Female,Indian,Assault,April 2015,3
Ages 15 to 19 years inclusive,Female,Indian,Sexual Assault,April 2015,3
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Assault,April 2015,18
Ages 15 to 19 years inclusive,Female,African,Assault,May 2015,3
Ages 15 to 19 years inclusive,Female,Asian,Assault,May 2015,3
Ages 15 to 19 years inclusive,Female,Asian,Sexual Assault,May 2015,3
Ages 15 to 19 years inclusive,Female,European,Assault,May 2015,75
Ages 15 to 19 years inclusive,Female,European,Sexual Assault,May 2015,36
Ages 15 to 19 years inclusive,Female,European,Abduction and Kidnapping,May 2015,3
Ages 15 to 19 years inclusive,Female,Indian,Assault,May 2015,3
Ages 15 to 19 years inclusive,Female,African,Assault,June 2015,3
Ages 15 to 19 years inclusive,Female,Asian,Assault,June 2015,3
Ages 15 to 19 years inclusive,Female,Asian,Sexual Assault,June 2015,3
Ages 15 to 19 years inclusive,Female,European,Assault,June 2015,90
Ages 15 to 19 years inclusive,Female,European,Sexual Assault,June 2015,36
Ages 15 to 19 years inclusive,Female,European,Abduction and Kidnapping,June 2015,3
Ages 15 to 19 years inclusive,Male,Asian,Assault,July 2015,3
Ages 15 to 19 years inclusive,Female,Asian,Assault,July 2015,3
Ages 15 to 19 years inclusive,Female,Asian,Sexual Assault,July 2015,3
Ages 15 to 19 years inclusive,Female,European,Homicide and Related Offences,July 2015,1
Ages 15 to 19 years inclusive,Female,European,Assault,July 2015,66
Ages 15 to 19 years inclusive,Female,European,Sexual Assault,July 2015,30
Ages 15 to 19 years inclusive,Female,Indian,Assault,July 2015,3
Ages 15 to 19 years inclusive,Female,Indian,Sexual Assault,July 2015,3
Ages 15 to 19 years inclusive,Male,African,Assault,August 2015,3
Ages 15 to 19 years inclusive,Female,African,Assault,August 2015,3
Ages 15 to 19 years inclusive,Male,Asian,Assault,August 2015,3
Ages 15 to 19 years inclusive,Female,Asian,Assault,August 2015,3
Ages 15 to 19 years inclusive,Female,Asian,Sexual Assault,August 2015,3
Ages 15 to 19 years inclusive,Female,European,Assault,August 2015,93
Ages 15 to 19 years inclusive,Female,European,Sexual Assault,August 2015,27
Ages 15 to 19 years inclusive,Female,European,Abduction and Kidnapping,August 2015,3
Ages 15 to 19 years inclusive,Female,Indian,Assault,August 2015,3
Ages 15 to 19 years inclusive,Female,Indian,Sexual Assault,August 2015,3
Ages 15 to 19 years inclusive,Female,African,Assault,September 2015,3
Ages 15 to 19 years inclusive,Male,Asian,Assault,September 2015,3
Ages 15 to 19 years inclusive,Female,Asian,Assault,September 2015,3
Ages 15 to 19 years inclusive,Female,European,Assault,September 2015,75
Ages 15 to 19 years inclusive,Female,Indian,Assault,September 2015,3
Ages 15 to 19 years inclusive,Female,Asian,Sexual Assault,September 2015,3
Ages 15 to 19 years inclusive,Female,European,Sexual Assault,September 2015,33
Ages 15 to 19 years inclusive,Female,European,Abduction and Kidnapping,September 2015,3
Ages 15 to 19 years inclusive,Female,African,Assault,October 2015,3
Ages 15 to 19 years inclusive,Male,African,Sexual Assault,October 2015,3
Ages 15 to 19 years inclusive,Female,Asian,Assault,October 2015,3
Ages 15 to 19 years inclusive,Female,Asian,Sexual Assault,October 2015,3
Ages 15 to 19 years inclusive,Female,European,Assault,October 2015,87
Ages 15 to 19 years inclusive,Female,European,Sexual Assault,October 2015,33
Ages 15 to 19 years inclusive,Female,European,Abduction and Kidnapping,October 2015,3
Ages 15 to 19 years inclusive,Female,Indian,Assault,October 2015,3
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,July 2014,3
Ages 15 to 19 years inclusive,Female,Maori,Assault,July 2014,105
Ages 15 to 19 years inclusive,Female,Maori,Sexual Assault,July 2014,33
Ages 15 to 19 years inclusive,Female,Maori,Abduction and Kidnapping,July 2014,3
Ages 15 to 19 years inclusive,Female,Middle Eastern,Assault,July 2014,3
Ages 15 to 19 years inclusive,Female,Pacific Island,Assault,July 2014,21
Ages 15 to 19 years inclusive,Female,Pacific Island,Sexual Assault,July 2014,9
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Assault,July 2014,3
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Assault,July 2014,36
Ages 15 to 19 years inclusive,Not Stated/Inadequately Described,Not Stated / Inadequately Described,Assault,July 2014,3
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,July 2014,3
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,July 2014,21
Ages 10 to 14 years inclusive,Male,Pacific Island,Sexual Assault,August 2014,3
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,August 2014,6
Ages 15 to 19 years inclusive,Female,Maori,Assault,August 2014,99
Ages 15 to 19 years inclusive,Female,Maori,Sexual Assault,August 2014,21
Ages 15 to 19 years inclusive,Female,Maori,Abduction and Kidnapping,August 2014,3
Ages 15 to 19 years inclusive,Female,Middle Eastern,Assault,August 2014,3
Ages 15 to 19 years inclusive,Male,Pacific Island,Assault,August 2014,12
Ages 15 to 19 years inclusive,Female,Pacific Island,Assault,August 2014,18
Ages 15 to 19 years inclusive,Female,Pacific Island,Sexual Assault,August 2014,12
Ages 15 to 19 years inclusive,Female,Pacific Island,Abduction and Kidnapping,August 2014,3
Ages 15 to 19 years inclusive,Male,Not Elsewhere Classified,Assault,August 2014,3
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Assault,August 2014,3
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Sexual Assault,August 2014,3
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Assault,August 2014,33
Ages 15 to 19 years inclusive,Not Stated/Inadequately Described,Not Stated / Inadequately Described,Assault,August 2014,3
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,August 2014,3
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,August 2014,15
Ages 10 to 14 years inclusive,Male,Pacific Island,Sexual Assault,September 2014,3
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,September 2014,3
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Abduction and Kidnapping,September 2014,3
Ages 15 to 19 years inclusive,Female,Latin American/Hispanic,Sexual Assault,September 2014,3
Ages 15 to 19 years inclusive,Female,Maori,Assault,September 2014,117
Ages 15 to 19 years inclusive,Female,Maori,Sexual Assault,September 2014,24
Ages 15 to 19 years inclusive,Female,Maori,Abduction and Kidnapping,September 2014,3
Ages 15 to 19 years inclusive,Female,Middle Eastern,Sexual Assault,September 2014,3
Ages 15 to 19 years inclusive,Male,Pacific Island,Assault,September 2014,18
Ages 15 to 19 years inclusive,Female,Pacific Island,Assault,September 2014,15
Ages 15 to 19 years inclusive,Female,Pacific Island,Sexual Assault,September 2014,9
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Assault,September 2014,3
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Sexual Assault,September 2014,3
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Assault,September 2014,21
Ages 15 to 19 years inclusive,Not Stated/Inadequately Described,Not Stated / Inadequately Described,Assault,September 2014,3
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,September 2014,21
Ages 10 to 14 years inclusive,Male,Pacific Island,Sexual Assault,October 2014,3
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,October 2014,3
Ages 15 to 19 years inclusive,Male,Pacific Island,Assault,October 2014,6
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Assault,October 2014,3
Ages 15 to 19 years inclusive,Male,Not Elsewhere Classified,Assault,October 2014,3
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Sexual Assault,October 2014,3
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,October 2014,3
Ages 15 to 19 years inclusive,Female,Maori,Assault,October 2014,120
Ages 15 to 19 years inclusive,Female,Pacific Island,Sexual Assault,October 2014,6
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,October 2014,24
Ages 15 to 19 years inclusive,Female,Maori,Sexual Assault,October 2014,24
Ages 15 to 19 years inclusive,Female,Maori,Abduction and Kidnapping,October 2014,3
Ages 15 to 19 years inclusive,Female,Pacific Island,Assault,October 2014,12
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Assault,October 2014,36
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,November 2014,21
Ages 15 to 19 years inclusive,Female,Middle Eastern,Sexual Assault,November 2014,3
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,November 2014,6
Ages 15 to 19 years inclusive,Female,Latin American/Hispanic,Assault,November 2014,3
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Sexual Assault,November 2014,3
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,November 2014,6
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Assault,November 2014,3
Ages 15 to 19 years inclusive,Male,Not Elsewhere Classified,Assault,November 2014,3
Ages 15 to 19 years inclusive,Female,Maori,Assault,November 2014,126
Ages 15 to 19 years inclusive,Female,Maori,Sexual Assault,November 2014,33
Ages 15 to 19 years inclusive,Male,Pacific Island,Assault,November 2014,15
Ages 15 to 19 years inclusive,Female,Pacific Island,Sexual Assault,November 2014,6
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Assault,November 2014,33
Ages 15 to 19 years inclusive,Female,Pacific Island,Assault,November 2014,18
Ages 15 to 19 years inclusive,Female,Maori,Abduction and Kidnapping,November 2014,3
Ages 10 to 14 years inclusive,Male,Pacific Island,Sexual Assault,December 2014,3
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,December 2014,15
Ages 15 to 19 years inclusive,Female,Maori,Assault,December 2014,108
Ages 15 to 19 years inclusive,Female,Maori,Sexual Assault,December 2014,15
Ages 15 to 19 years inclusive,Male,Pacific Island,Assault,December 2014,6
Ages 15 to 19 years inclusive,Female,Pacific Island,Assault,December 2014,18
Ages 15 to 19 years inclusive,Female,Pacific Island,Sexual Assault,December 2014,6
Ages 15 to 19 years inclusive,Male,Pacific Island,Abduction and Kidnapping,December 2014,3
Ages 15 to 19 years inclusive,Male,Not Elsewhere Classified,Assault,December 2014,3
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Assault,December 2014,3
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Assault,December 2014,30
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,December 2014,3
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,December 2014,30
Ages 10 to 14 years inclusive,Male,Pacific Island,Sexual Assault,January 2015,3
Ages 15 to 19 years inclusive,Female,Pacific Island,Assault,January 2015,27
Ages 15 to 19 years inclusive,Male,Pacific Island,Assault,January 2015,18
Ages 15 to 19 years inclusive,Female,Maori,Assault,January 2015,123
Ages 15 to 19 years inclusive,Male,Not Elsewhere Classified,Assault,January 2015,3
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Sexual Assault,January 2015,3
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,January 2015,3
Ages 15 to 19 years inclusive,Female,Maori,Sexual Assault,January 2015,21
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Assault,January 2015,3
Ages 15 to 19 years inclusive,Female,Pacific Island,Abduction and Kidnapping,January 2015,3
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,January 2015,27
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Assault,January 2015,39
Ages 15 to 19 years inclusive,Female,Pacific Island,Sexual Assault,January 2015,9
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,January 2015,3
Ages 10 to 14 years inclusive,Male,Not Elsewhere Classified,Sexual Assault,February 2015,3
Ages 15 to 19 years inclusive,Female,Middle Eastern,Assault,February 2015,3
Ages 15 to 19 years inclusive,Male,Pacific Island,Assault,February 2015,9
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Assault,February 2015,3
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,February 2015,3
Ages 15 to 19 years inclusive,Female,Maori,Assault,February 2015,108
Ages 15 to 19 years inclusive,Female,Pacific Island,Sexual Assault,February 2015,3
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,February 2015,15
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Abduction and Kidnapping,February 2015,3
Ages 15 to 19 years inclusive,Male,Not Elsewhere Classified,Assault,February 2015,3
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Sexual Assault,February 2015,3
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,February 2015,3
